Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGQ7-1","fru MARCM","F","SAGQ7-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGQ7-1_01_warp_m0g80c8e1e-1x26r4.list","2","191",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR10-1","fru MARCM","F","SAGR10-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR10-1_01_warp_m0g80c8e1e-1x26r4.list","5","184",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR11-1","fru MARCM","F","SAGR11-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR11-1_01_warp_m0g80c8e1e-1x26r4.list","4","161",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR13-1","fru MARCM","F","SAGR13-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR13-1_01_warp_m0g80c8e1e-1x26r4.list","3","172",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR15-1","fru MARCM","F","SAGR15-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR15-1_01_warp_m0g80c8e1e-1x26r4.list","5","177",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR17-1","fru MARCM","F","SAGR17-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR17-1_01_warp_m0g80c8e1e-1x26r4.list","5","185",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR18-1","fru MARCM","F","SAGR18-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR18-1_01_warp_m0g80c8e1e-1x26r4.list","3","185",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR3-1","fru MARCM","F","SAGR3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR3-1_01_warp_m0g80c8e1e-1x26r4.list","5","175",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGR5-1","fru MARCM","F","SAGR5-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGR5-1_01_warp_m0g80c8e1e-1x26r4.list","4","177",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGS12-1","fru MARCM","M","SAGS12-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGS12-1_01_warp_m0g80c8e1e-1x26r4.list","4","163",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGS15-1","fru MARCM","M","SAGS15-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGS15-1_01_warp_m0g80c8e1e-1x26r4.list","2","167",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGS16-1","fru MARCM","M","SAGS16-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGS16-1_01_warp_m0g80c8e1e-1x26r4.list","4","169",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
